,Unnamed: 0.1,Unnamed: 0,time,BlkCnt,CapMrktCurUSD,DiffMean,FeeMeanUSD,FlowInExUSD,HashRate,NDF,ROI30d
0,0,0,2009-01-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,2009-01-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,2,2009-01-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,3,2009-01-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,4,2009-01-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,5,2009-01-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,6,2009-01-09,19,0.0,1.0,0.0,0.0,9.44495122962963e-07,1.0,0.0
7,7,7,2009-01-10,61,0.0,1.0,0.0,0.0,3.03232644740741e-06,1.0,0.0
8,8,8,2009-01-11,93,0.0,1.0,0.0,0.0,4.62305507555556e-06,1.0,0.0
9,9,9,2009-01-12,94,0.0,1.0,0.0,0.0,4.67276534518519e-06,1.0,0.0
10,10,10,2009-01-13,123,0.0,1.0,0.0,0.0,6.11436316444444e-06,0.999897435897,0.0
11,11,11,2009-01-14,129,0.0,1.0,0.0,0.0,6.41262478222222e-06,0.999961464355,0.0
12,12,12,2009-01-15,126,0.0,1.0,0.0,0.0,6.26349397333333e-06,0.999937984496,0.0
13,13,13,2009-01-16,108,0.0,1.0,0.0,0.0,5.36870912e-06,0.99994687915,0.0
14,14,14,2009-01-17,109,0.0,1.0,0.0,0.0,5.41841938962963e-06,0.999953596288,0.0
15,15,15,2009-01-18,107,0.0,1.0,0.0,0.0,5.31899885037037e-06,0.99995872033,0.0
16,16,16,2009-01-19,115,0.0,1.0,0.0,0.0,5.71668100740741e-06,0.999963099631,0.0
17,17,17,2009-01-20,114,0.0,1.0,0.0,0.0,5.66697073777778e-06,0.999966611018,0.0
18,18,18,2009-01-21,102,0.0,1.0,0.0,0.0,5.07044750222222e-06,0.999969230769,0.0
19,19,19,2009-01-22,91,0.0,1.0,0.0,0.0,4.5236345362963e-06,0.99997124371,0.0
20,20,20,2009-01-23,84,0.0,1.0,0.0,0.0,4.17566264888889e-06,0.999972881356,0.0
21,21,21,2009-01-24,201,0.0,1.0,0.0,0.0,9.99176419555555e-06,0.999976133652,0.0
22,22,22,2009-01-25,191,0.0,1.0,0.0,0.0,9.49466149925926e-06,0.999978575254,0.0
23,23,23,2009-01-26,96,0.0,1.0,0.0,0.0,4.77218588444444e-06,0.999979623026,0.0
24,24,24,2009-01-27,97,0.0,1.0,0.0,0.0,4.82189615407407e-06,0.999980582524,0.0
25,25,25,2009-01-28,112,0.0,1.0,0.0,0.0,5.56755019851852e-06,0.999797421731,0.0
26,26,26,2009-01-29,121,0.0,1.0,0.0,0.0,6.01494262518518e-06,0.999808111644,0.0
27,27,27,2009-01-30,117,0.0,1.0,0.0,0.0,5.81610154666667e-06,0.999817427386,0.0
28,28,28,2009-01-31,138,0.0,1.0,0.0,0.0,6.86001720888889e-06,0.999827315542,0.0
29,29,29,2009-02-01,113,0.0,1.0,0.0,0.0,5.61726046814815e-06,0.999834648628,0.0
30,30,30,2009-02-02,128,0.0,1.0,0.0,0.0,6.36291451259259e-06,0.999842237361,0.0
31,31,31,2009-02-03,139,0.0,1.0,0.0,0.0,6.90972747851852e-06,0.999849180328,0.0
32,32,32,2009-02-04,119,0.0,1.0,0.0,0.0,5.91552208592593e-06,0.999756547424,0.0
33,33,33,2009-02-05,126,0.0,1.0,0.0,0.0,6.26349397333333e-06,0.999766214939,0.0
34,34,34,2009-02-06,122,0.0,1.0,0.0,0.0,6.06465289481481e-06,0.999774871017,0.0
35,35,35,2009-02-07,129,0.0,1.0,0.0,0.0,6.41262478222222e-06,0.999771670561,0.0
36,36,36,2009-02-08,132,0.0,1.0,0.0,0.0,6.56175559111111e-06,0.999780146232,0.0
37,37,37,2009-02-09,134,0.0,1.0,0.0,0.0,6.66117613037037e-06,0.999690569106,0.0
38,38,38,2009-02-10,120,0.0,1.0,0.0,0.0,5.96523235555556e-06,0.999600577428,0.0
39,39,39,2009-02-11,133,0.0,1.0,0.0,0.0,6.61146586074074e-06,0.999614253107,0.0
40,40,40,2009-02-12,119,0.0,1.0,0.0,0.0,5.91552208592593e-06,0.999625553914,0.0
41,41,41,2009-02-13,124,0.0,1.0,0.0,0.0,6.16407343407407e-06,0.999636645963,0.0
42,42,42,2009-02-14,136,0.0,1.0,0.0,0.0,6.76059666962963e-06,0.999648079593,0.0
43,43,43,2009-02-15,128,0.0,1.0,0.0,0.0,6.36291451259259e-06,0.999658202247,0.0
44,44,44,2009-02-16,122,0.0,1.0,0.0,0.0,6.06465289481481e-06,0.999667322835,0.0
45,45,45,2009-02-17,117,0.0,1.0,0.0,0.0,5.81610154666667e-06,0.9996756238,0.0
46,46,46,2009-02-18,118,0.0,1.0,0.0,0.0,5.8658118162963e-06,0.999583732057,0.0
47,47,47,2009-02-19,124,0.0,1.0,0.0,0.0,6.16407343407407e-06,0.999594199959,0.0
48,48,48,2009-02-20,122,0.0,1.0,0.0,0.0,6.06465289481481e-06,0.999406095389,0.0
49,49,49,2009-02-21,114,0.0,1.0,0.0,0.0,5.66697073777778e-06,0.999419198761,0.0
50,50,50,2009-02-22,121,0.0,1.0,0.0,0.0,6.01494262518518e-06,0.999432488654,0.0
51,51,51,2009-02-23,108,0.0,1.0,0.0,0.0,5.36870912e-06,0.999443847294,0.0
52,52,52,2009-02-24,106,0.0,1.0,0.0,0.0,5.26928858074074e-06,0.999454561977,0.0
53,53,53,2009-02-25,105,0.0,1.0,0.0,0.0,5.21957831111111e-06,0.999464776173,0.0
54,54,54,2009-02-26,107,0.0,1.0,0.0,0.0,5.31899885037037e-06,0.99947479874,0.0
55,55,55,2009-02-27,115,0.0,1.0,0.0,0.0,5.71668100740741e-06,0.999485160405,0.0
56,56,56,2009-02-28,99,0.0,1.0,0.0,0.0,4.92131669333333e-06,0.999493758435,0.0
57,57,57,2009-03-01,105,0.0,1.0,0.0,0.0,5.21957831111111e-06,0.999502569203,0.0
58,58,58,2009-03-02,108,0.0,1.0,0.0,0.0,5.36870912e-06,0.999511317375,0.0
59,59,59,2009-03-03,105,0.0,1.0,0.0,0.0,5.21957831111111e-06,0.999321037464,0.0
60,60,60,2009-03-04,104,0.0,1.0,0.0,0.0,5.16986804148148e-06,0.99933215748,0.0
61,61,61,2009-03-05,112,0.0,1.0,0.0,0.0,5.56755019851852e-06,0.999343732591,0.0
62,62,62,2009-03-06,117,0.0,1.0,0.0,0.0,5.81610154666667e-06,0.999355403557,0.0
63,63,63,2009-03-07,109,0.0,1.0,0.0,0.0,5.41841938962963e-06,0.999267464115,0.0
64,64,64,2009-03-08,115,0.0,1.0,0.0,0.0,5.71668100740741e-06,0.999279847126,0.0
65,65,65,2009-03-09,108,0.0,1.0,0.0,0.0,5.36870912e-06,0.999291101143,0.0
66,66,66,2009-03-10,107,0.0,1.0,0.0,0.0,5.31899885037037e-06,0.999301909376,0.0
67,67,67,2009-03-11,114,0.0,1.0,0.0,0.0,5.66697073777778e-06,0.999313067863,0.0
68,68,68,2009-03-12,118,0.0,1.0,0.0,0.0,5.8658118162963e-06,0.999324248276,0.0
69,69,69,2009-03-13,113,0.0,1.0,0.0,0.0,5.61726046814815e-06,0.999334619041,0.0
70,70,70,2009-03-14,110,0.0,1.0,0.0,0.0,5.46812965925926e-06,0.999344413221,0.0
71,71,71,2009-03-15,123,0.0,1.0,0.0,0.0,6.11436316444444e-06,0.999355028963,0.0
72,72,72,2009-03-16,121,0.0,1.0,0.0,0.0,6.01494262518518e-06,0.999365141895,0.0
73,73,73,2009-03-17,114,0.0,1.0,0.0,0.0,5.66697073777778e-06,0.999374383859,0.0
74,74,74,2009-03-18,114,0.0,1.0,0.0,0.0,5.66697073777778e-06,0.999383360604,0.0
75,75,75,2009-03-19,122,0.0,1.0,0.0,0.0,6.06465289481481e-06,0.999392686253,0.0
76,76,76,2009-03-20,118,0.0,1.0,0.0,0.0,5.8658118162963e-06,0.999401441662,0.0
77,77,77,2009-03-21,50,0.0,1.0,0.0,0.0,2.48551348148148e-06,0.999405075896,0.0
78,78,78,2009-03-22,119,0.0,1.0,0.0,0.0,5.91552208592593e-06,0.999413550395,0.0
79,79,79,2009-03-23,130,0.0,1.0,0.0,0.0,6.46233505185185e-06,0.999422536539,0.0
80,80,80,2009-03-24,105,0.0,1.0,0.0,0.0,5.21957831111111e-06,0.999429595995,0.0
81,81,81,2009-03-25,117,0.0,1.0,0.0,0.0,5.81610154666667e-06,0.999437261659,0.0
82,82,82,2009-03-26,117,0.0,1.0,0.0,0.0,5.81610154666667e-06,0.999444724017,0.0
83,83,83,2009-03-27,106,0.0,1.0,0.0,0.0,5.26928858074074e-06,0.999451315937,0.0
84,84,84,2009-03-28,119,0.0,1.0,0.0,0.0,5.91552208592593e-06,0.999458532272,0.0
85,85,85,2009-03-29,116,0.0,1.0,0.0,0.0,5.76639127703704e-06,0.999465386294,0.0
86,86,86,2009-03-30,120,0.0,1.0,0.0,0.0,5.96523235555556e-06,0.999472296424,0.0
87,87,87,2009-03-31,110,0.0,1.0,0.0,0.0,5.46812965925926e-06,0.999478475623,0.0
88,88,88,2009-04-01,114,0.0,1.0,0.0,0.0,5.66697073777778e-06,0.99948472865,0.0
89,89,89,2009-04-02,115,0.0,1.0,0.0,0.0,5.71668100740741e-06,0.999490886418,0.0
90,90,90,2009-04-03,116,0.0,1.0,0.0,0.0,5.76639127703704e-06,0.999496950406,0.0
91,91,91,2009-04-04,113,0.0,1.0,0.0,0.0,5.61726046814815e-06,0.99950272026,0.0
92,92,92,2009-04-05,130,0.0,1.0,0.0,0.0,6.46233505185185e-06,0.999409677419,0.0
93,93,93,2009-04-06,109,0.0,1.0,0.0,0.0,5.41841938962963e-06,0.056793955009,0.0
94,94,94,2009-04-07,100,0.0,1.0,0.0,0.0,4.97102696296296e-06,0.056236659798,0.0
95,95,95,2009-04-08,105,0.0,1.0,0.0,0.0,5.21957831111111e-06,0.055663150738,0.0
96,96,96,2009-04-09,99,0.0,1.0,0.0,0.0,4.92131669333333e-06,0.055133025493,0.0
97,97,97,2009-04-10,108,0.0,1.0,0.0,0.0,5.36870912e-06,0.054467066552,0.0
98,98,98,2009-04-11,120,0.0,1.0,0.0,0.0,5.96523235555556e-06,0.054510740845,0.0
99,99,99,2009-04-12,118,0.0,1.0,0.0,0.0,5.8658118162963e-06,0.054470496229,0.0
100,100,100,2009-04-13,115,0.0,1.0,0.0,0.0,5.71668100740741e-06,0.053893478261,0.0
101,101,101,2009-04-14,124,0.0,1.0,0.0,0.0,6.16407343407407e-06,0.053284845173,0.0
